Value,Ref,Footprint
10k,R3,kicadlib:SMD_0603_R
0,R5,kicadlib:SMD_0603_R
4.7F,C3,kicadlib:SMD_0603_R
3.3k,R9,kicadlib:SMD_0603_R
3.3k,R10,kicadlib:SMD_0603_R
LED,D2,kicadlib:SMD_0603_LED
4.7F,C2,kicadlib:SMD_0603_R
10103593-0001LF,J1,kicadlib:usb_micro_b_smt
MCP73831,U3,kicadlib:MCP73831
PIC12F1822,U2,noah:PIC12F1822-SOIC-8
10K,R7,kicadlib:SMD_0603_R
10K,R8,kicadlib:SMD_0603_R
SW_PUSH,SW1,noah:SW_PB_4PIN_SMT_real
PN_MOSFET_DUAL,Q1,kicadlib:SMD_SOT23-6
AP3012,U1,None
5_PIN_HDR,J4,None
10k,R4,kicadlib:SMD_0603_R
10k,R6,kicadlib:SMD_0603_R
D_Schottky,D1,None
INDUCTOR,L1,None
2_PIN_HDR,J2,None
10k,R1,kicadlib:SMD_0603_R
10k,R2,kicadlib:SMD_0603_R
1.0F,C1,kicadlib:SMD_0603_R
2_PIN_HDR,J3,None
